hitIndex,hitDocId,hitStart,hitEnd,score,quoteIndex,quoteStart,quoteEnd,quoteDocId,workCount,quoteMeta,hitMeta,quoteText,hitText,result,annotator
3470,0251701800,8573,8978,0.83,0,211082,211369,A48874,41,top5,top10-20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","us, that the greatest Good, to which<br />man can aspire, is a sense of the appro-<br />bation of his Maker; that this, in every<br />stage of his existence, must be the -foundation<br />of his happiness, and the only unchangeable<br />part of it; that all externals, refpeding<br /><br />either<br /><br />[9]<br />either the mind or the body, are of a relative<br />nature, and affect him with pleasure or pain<br />in a degree that depends on his own disposition",M,2
5759,1629200700,8006,8364,0.822,0,211082,211369,A48874,41,top5,top10-20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","World do strangely<br />alienate our Hearts from God, and the more we are busied<br /><br />in providing for the Flesh, the leTs Care we<br /><br />matt. 6. 3 3. Ihall take of the Spirit, The Kingdom of God<br /><br />and his Righteoufnefi are usually negleaed,<br /><br />while Men are follicitous about what they shall eat, and what<br />they Jfall drink, and wvherewithall they jflall be cloathed; and<br />sel",N,2
7028,0389201000,186038,186406,0.819,0,211082,211369,A48874,41,top5,top10-20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","change is not in God, but in the persons<br />themselves. When, therefore, from loving<br />any person, God becomes angry with him,<br />or, being angry, he becomes appeased, in<br />these cafes God is not changed, because he<br />a&s according to his eternal mind and will,<br />which is unchangeably set to love righteous.<br />ness, and hate iniquity; but the change is<br />in the persons themselves; and",N,2
7168,0276000601,436864,437236,0.819,0,211082,211369,A48874,41,top5,top10-20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","all<br />our thoughts and aftions. Thozu Jalt fJar the Lord<br />thy God, and /halt erve him alone.. Deut vi. 13.<br /><br />3. A second motive is our essential dependence<br />on God, in whom we live and move. We can have<br />nothing, we can do nothing but in and by God. It<br />is then tnoft just that we flould give to him the<br />homage of all, and employ our whole life and<br />strength for him, and to glori",T,2
8587,1232300400,412132,412556,0.816,0,211082,211369,A48874,41,top5,top10-20,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","disorders and confusions in<br />the world, of which it is not productive.<br />For we should ever distinguish what<br />religion requires of us, as it may be<br />deduced from the law of nature, and<br />our relative situation as created beings;<br />what it farther requires of us, as the<br />Almighty by various means and ce at<br />sundry times"" hath revealed his will to<br />us, which must always be confifent<br />with those laws and that situation,<br />though much more",T,2
9888,1605501400,11758,12123,0.813,0,211082,211369,A48874,41,top5,top20-30,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","then it is no<br />wonder, if the whole conduct of our lives, suitably to<br />the very wrong diifpolition that we fiet out: with, be no-<br />thing but one continued scene of' unfaithfulnefs.<br /><br />God, who is the author of every good gift, knows<br /><br />exac?1ly how much he has given every one to traffic with<br />and manage for him, and wye are taught by our natu-<br />ral notions of him, as well",T,2
11204,1013500200,5339,5694,0.811,0,211082,211369,A48874,41,top5,top20-30,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp",", our GOD is just;<br /><br />Pure hallelujah's ting.<br />The universe can't him contain;<br /><br />In truth doth he delight;<br />From chaos' vast profundity<br /><br />He call'd celestial light.<br />At his command the earth arose,<br /><br />Confusion heard his voice;<br />Let sacred righteousness dire&,<br /><br />And virtue be our choice.<br />He in one place reftrain'd the waves,<br /><br />And kept them up in store;<br />Let all the",N,2
11786,0431700300,248695,249064,0.81,0,211082,211369,A48874,41,top5,top20-30,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","this Life, our best and<br />fecureft Condition is exposed to a World of<br />fad and uncomfortable Accidents, which we<br />have neither the Wisdom to foresee, nor the<br />Power to prevent: And where ihail we find<br />Relief, if there be no GOD ?<br /><br />Superstition renders a Man a Fool, and<br />Scepticism makes him mad.<br /><br />We have a Thing called Reason within us,<br />which is very ingenious in giving St",T,2
12122,0712901800,119619,119934,0.81,0,211082,211369,A48874,41,top5,top20-30,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","ulefs Pow'r and WVifdom, we explore !<br />Thus on the reas'ning foul, we feel or fee<br />Strong deep impressions mark'd of DEITYt<br />All infinite, eternal, good and wife,<br />Above, below, beyond, none else can rife;<br />While Reason ditates, Nature calls aloud,<br />Omnipotence alone pertains to GOD !<br /><br />Tho' circumfcrib'd our pow'rs, yet",N,2
14902,1130601400,22111,22447,0.806,0,211082,211369,A48874,41,top5,top20-30,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","continually."" - While<br />we are in a state of nature, (I believe) there is an<br />implacable enmity in our hearts to God and holi-<br />ness ;- we are neither able, nor willing to return<br />to God, from whom we have fallen;-we are in-<br />tirely "" without hope""-nay, "" without God in<br />"" the world.""-<br /><br />In so dismal, and, deplorable a situation as this;<br />shut",T,2
18176,0135500800,79419,79760,0.802,0,211082,211369,A48874,41,top5,top30-40,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","in that Place?<br />17. I am not careful to answer in this Matter. It is<br />not mi' part to fay, Whether GOD hath done Good by-<br />'my Hands, Whether I have a Particular Turn of Mindi<br />for this, or not: And whether Want of Success (where;<br />our Attempts did not succeed) was owing to Imprudence,.<br />or to other Causes.' But the latter part of the Objetion,.",N,2
20203,0855400100,312869,313235,0.799,0,211082,211369,A48874,41,top5,top30-40,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","all equally fallen short of<br />the glory of God, and liable to all the curses and male-<br />ditions of the law ; so that he that glori:th, mult glory<br /><br />G 4. on-<br /><br />only in the Lord. For none of us have any thing which<br />we did not receive; and whatever we havereceived;we did<br />not in the least merit it, or could we lay the least claim<br />ro it on any account whatever :-- We are wv",T,2
20241,0340600100,371740,372078,0.799,0,211082,211369,A48874,41,top5,top30-40,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","confin'd and limitted to them, and could no where else accep-<br />tably be perform'd: But now God is so far from efleeming any<br />one place noly ab':v-e another to any such purpose, that, on the<br />contrary, our S viour declares all that God requires is, that we<br />worfnip him in Spirit and in Truth, without any regard to this<br />or t'cther 'lace ; and",N,2
21111,1476800600,41780,42154,0.799,0,211082,211369,A48874,41,top5,top30-40,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","both to God, and the World, that the Fault must<br />be in our Selves. Whether we view that sacred<br />Prince, either in her Religious Disposition and Pie-<br />ty towards God ; or in the Unparalleled Bleflings,<br />+which he has upon that account,from the Beginning<br />poured down, and fill continues to pour down,upon<br />her happy Reign , We may .indeed conclude from<br />the Lart,that She really is,",N,2
23940,0611100500,20252,20634,0.796,0,211082,211369,A48874,41,top5,top30-40,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","us of<br />God; and in Per. 13. Spiritual things, which we must<br />nnderftand of all the Blessings which we enjoy here<br />below, and which we wait for in Heaven above;<br />which I note, because that it seems to me that this<br />pailage of Scripture, at least among the popularity, is<br />often nnderftood, as if the meaning were such, That<br />the Excellency of our Eternal Happiness in the Life<br />to come, will",N,2
27706,0209800402,183421,183754,0.793,0,211082,211369,A48874,41,top5,top40-50,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","de ne jamais féparer la nature de<br />la providence particuliere, qui préfide fpécia-<br />lement à tout événement quelconque. Perfonne<br />par-conféquent tant foit peu au fair de fon flyle,<br />ne s'étonnera de fa façon de s'énoncer, quand<br />elle dit: Le Seigneur Dieu ayant donc formn de<br />la terre tous les animaux terrefres & tousles os faux<br />du ciel,",N,5
29157,0308900900,11189,11598,0.791,0,211082,211369,A48874,41,top5,top40-50,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","strained by any foreign forcible<br />impression, and without sensible struggle and contestation<br />from Heaven, and whilst that they have a mere natural event<br />and issue, are yet swayed and direEted by a presiding provi-<br />dence, to the display of God's might or mercies in the world ?<br />Allowing this, that God takes advantage of men's paflions,<br />and conducts them finally according to his will; allowing<br /><br />God's<br /><br />(8)<br />God'",M,2
33537,0938700200,26222,26580,0.788,0,211082,211369,A48874,41,top5,top40-50,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","as in this world of ours, the<br />Ungodly are far more numerous than the<br />Godly; But in that other VVorld, the<br />good Angels are probably more in num-<br />ber than the evil Angels that fell: This<br />Earth of ours is but a very small spot,<br />and yet, How is it throng'd with Inhabi-<br />tants ? But what vast Tracks are * there<br />between Heaven, and this our contempti-<br />ble Clod on",N,2
35817,1493100600,36145,36493,0.786,0,211082,211369,A48874,41,top5,top40-50,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","of God are very obscure, and the Me-<br />thods he takes fetem to us to be very intricate and per-<br />plext a yet there is great Reason to be calm and<br />resigning, lince whatever his infinite Power hath<br />produc'd, his lieddy and unerring Wisdom governs.<br />The People of God thall be happy in the end, tbo<br />the Reasons of many intermepdiatle Events are con-<br />ceal'",N,2
36224,0136400202,35528,35957,0.786,0,211082,211369,A48874,41,top5,top40-50,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","in the main, is to suppose our-<br /><br />selves<br /><br />selves totally unacquainted both with the senti-<br />ments of the world, and the principles of common<br />understanding.<br /><br />To make a proper application of the foregoing<br />reflexions, we muff confider that in disposing of<br />the various lots in human affairs, the benignity<br />of providence intended an equal portion of felicity<br />for all: he wifely designed that if the poor man<br />had nothing more than a cott",M,2
44797,1103600600,26769,27128,0.781,0,211082,211369,A48874,41,top5,top50-60,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","our mind,<br />and with all our Jrength ; Which Implies,<br />That we fllould very frequently Contemplate<br />the High Perfcdions, which are in God, in<br />order to Raise and Preserve the Highest Ad-<br />miration of them within our Selves: That<br />this Admiration fllould not aftfd our 'ndcr.<br />flandings alone, but descend upon our Hearts,<br />and move Full Complacency There: That<br />we illo",T,2
48245,0584602500,182227,182571,0.779,0,211082,211369,A48874,41,top5,top50-60,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp",":<br />Now, this is the truth with relpee to us ChriJifans<br />also. The all-wife God has so conflituted things,<br />that even we likewise groan under the various pref-<br />fures of life, which is afal implicitly signifying, or<br />declaring, that we wait for redemption, not being<br />as yet actually possessed of it.""<br /><br />(41) Who hae had the firfJ-fraits of the Spirit.",N,2
49884,0697900200,1258018,1258418,0.778,0,211082,211369,A48874,41,top5,top50-60,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","of God, there are but few amongst<br />ps that are malecontent, and fewer that have cause to be so.<br /><br />SIR, the allknowing God knows our greatest ambition<br />is to live a poor and quiet life, in a corner of the world,<br />without offence to God or man. Wee came not into this<br />wilderness to feeke great things to ourselves, and if any<br />come after us to feeke them heere, they will be disappointed.<br />Wee keep ourselves",N,2
51603,0127702900,417140,417507,0.777,0,211082,211369,A48874,41,top5,top50-60,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","0! thought ihe, how ought every one in this Life to<br />rely fiedfaitly on the divine Providence, who knows<br />better than ourselves what is fit for us, and frequently<br />makes the very Evils we dread the Causes of our<br />Happiness. As this Day was so agreeable toPamela,<br />She could not but be very desirous to write down the<br /><br />Occur<br /><br />Occurrences of it to be joined to the Series of",T,2
52816,0543401800,56749,57096,0.776,0,211082,211369,A48874,41,top5,top50-60,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","ly have of the divine PerfeCtions, and<br />"" the clear Notions of Good and Evil imprinted<br />"" upon our Natures ; because we have no other<br />"" Way to judge what is worthy of God, and<br />"" credible to be revealed by him, and what not,<br />"" but by the natural Notions which we have of<br /><br />"" God<br />* Tillot. Works, Vol. II. p. 14.<br /><br />(4')<br />c God, and of his essential Perfe",T,2
53833,0270500500,65856,66234,0.775,0,211082,211369,A48874,41,top5,top60-70,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","do; for though it<br />must be granted, that all our endeavours depend upon the<br />divine blessing, yet if we are wanting in any thing to our-<br />selves, how can we expeCt that blessing to succeed our en-<br />deavours ? My business therefore in this fetion fiall be to<br />Ihew how women that desire to have children mhould order<br />themselves.<br /><br />Firit, women that are delirous to have children, muff,",N,2
55622,0811800300,52343,52668,0.775,0,211082,211369,A48874,41,top5,top60-70,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","Heaven; and yet, if we com-<br />pare our Righteousness, that is, our firtue,<br />with the Morals (ift.) of the antient Hea-<br />thens; which of us all (I will not fay, ex-<br />ceeds, but (comes up to These, who had only<br />the Light of Reason to guide them, in the<br />common and social Duties of Life ? Where<br />is that Generojfty of Soul, that Magna",T,2
61442,0553302700,27494,27869,0.772,0,211082,211369,A48874,41,top5,top60-70,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","us a sense of our wants, and the<br />worth of the mercies we pray for; exciting<br />faith and hope, humility and importunity.<br />Can we doubt of an answer to those desires,<br />that are of his own exciting ? To this end,<br />carry it well towards him in your ordina-<br />ry walk: If you grieve him, he will re-<br /><br />C tire;<br /><br />tire; and then what dull work will you<br />make of it in your closet? What a lum-",T,2
62481,0819600500,159811,160153,0.771,0,211082,211369,A48874,41,top5,top60-70,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","Goodness, in<br />those about us, and under our Care. And as we<br />have Ability, and are called to it by the Provi-<br />dence of GoD, we are to communicate and do<br />Good to the Bodies, as well as the Souls of o-<br />thers.<br /><br />In thus doing we are not denied any thing that<br />may give Vigour to our Spirits, and excite Grati-<br />tude to Heaven, and promote Love to our",N,2
66290,0647000201,24934,25298,0.769,0,211082,211369,A48874,41,top5,top60-70,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","part, we dimly scan<br />Through the dark medium of life's feverish dream;<br />Yet dare arraign the whole stupendous plan,<br />If but that little part incongruous seem.<br />Nor is that part perhaps what mortals deem;<br />Oft from apparent ill our blessings rise.<br />O then renounce that impious self-esteem,<br />That aims to trace the secrets of the skies:<br />For thou art but of dust; be humble",N,2
76249,0742900400,288171,288530,0.765,0,211082,211369,A48874,41,top5,top70-80,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","God, by acknow-<br />ledging our entire dependence on him. Another, by the bler-<br />sing accompanying it, to be the mean of waining our de-<br />praved hearts from that evil, and to dispose and incline them<br />to that good, which they are naturally averse from. But,<br />it was no part of the design of it, to asset, or influence a God<br />of infinite perfeEtion, to that which he is",N,2
77172,1061601900,6101,6460,0.765,0,211082,211369,A48874,41,top5,top70-80,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","s of the Air have Nefls; are better<br />provided in that Refpe& than be, for the Son<br />of Man bath not where mv lay his Head. What<br />if we have no House of dur own ? Or if<br />we have that, yet no rich Furniture ? What<br />if we have no high Roofs, or embroidered<br />Hangings ? Will not a Life of Communion<br />with God make us happy without these ?<br />Our Lord had none of .em.<br /><br />Again",N,2
78047,1749900300,25593,25958,0.764,0,211082,211369,A48874,41,top5,top70-80,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","them. And what<br />poilibly of higher Moment can there be, what nobler De/ign to<br />concern our Minds, our whole selves about, then the salvation<br />of Men ? Since but one Soul, even ofthe poorest and most derpi-<br />rable Person, we know, and mutt confers to be of greater Value<br />than all the Kingdoms of the Earth: And yet what Troubled<br />Thoughts, what Fears and Jealousies arise",T,2
87779,0703700600,12258,12603,0.76,0,211082,211369,A48874,41,top5,top70-80,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","of our de-<br />riving our being from God, with all the bene-<br />fits we have ever enjoyed, and of our necefla-<br /><br />B 2 rily<br />';; Mal. i 6.<br /><br />( 2 )<br />rily depending upon him every moment for all<br />the happiness of which we are farther capable:<br />how should, the consideration, that when tl:.i-<br />verfally involved in a state of guilt and wic!Ld-<br />ness, he enthis only",T,2
88798,0397500500,530239,530542,0.76,0,211082,211369,A48874,41,top5,top70-80,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","foins, à nous procurer quelque bien - être,<br />qui nous excite auffi aux aions glorieufes &.<br />donne du reftort à nos penfées. Lorsque cette<br />forte d'amour de nous même et fubordonnée<br />aux loix de la fociété & qu'on ne s'y livre point<br />aux dépends d'autrui, c'eft un amour- propre<br />raifonnable; c'efl entrer dans",M,5
92260,1101000100,742402,742699,0.759,0,211082,211369,A48874,41,top5,top80-90,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp","? How<br />o!nes it then, that what is So divine in us should lose its<br />Charafter in the Divine Being ? And that, according as the<br />Deity is reprefeLited to us, he Ihould more resemble the Weak,<br />YWomanilh, and Impotent Part of our Nature, ihan the Gene-,<br />Sois, Manly and DLivinle Iid,<br /><br />( 39)<br />Ibid. p. 6o.",T,2
96742,0147505400,116181,116544,0.757,0,211082,211369,A48874,41,top5,top80-90,"nother reason *why* God hath scattered up and down *several degrees of pleasure and pain, in all the things that environ and affect us*; and blended them together, in almost all that our Thoughts and Senses have to do with; that we finding imperfection, dissatisfaction, and want of comp",", or of qualifying us for a future life ; and that in this state we mull get<br />habits and qualities to fit us for that. It is by the improvement of our nature<br />here that it is fitted for an higher sIate hereafter. This teems the design<br />of God; this the con!titution ot things which he has fettled. God is,<br />without doubt, as one of the Apostles has defined him, LOVE;",N,2
