,quoteIndex,quoteText,hitDocId,hitText,hitStart,hitEnd,simScore,hitResult,estc_id,main_category,full_title,work_id,publication_year,language,publication_place,primary_author
10,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",53000106,", aiunft horses &c.
every thing that can be divided by the mind into two or more ideas
is called complex. .
Complex ideas are often confidered as single and difinta beings; though
they may be made up of several limple ideas; so a body, afpirit, a
hotfe, a tree, afiower.-But when several of these ideas of a different
kiind are joined together, which are wont to be confi",64475,64846,0.843,Paraphrase,T126513,religion,"The works of the Rev. Isaac Watts, D.D. In seven volumes. Vol. I. Containing Sermons,",107990-works of rev,1800,English,Leeds,"watts, isaac, 1674-1748"
11,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1439300101,"things are. But complex ideas, or notions of complex
:objects, the mind cani ft:.-m for itself, by fuappofing a
number of simple or complex notions or things coin-
bined together in one afimblopge. When -lbch complex
ideas are not derived si om memory, we refer them to
the imagination. No n'an e':er saw a mountain of
ivory ; but he, who has seen",122137,122484,0.842,Meaning Match,W31856,philosophy,"Elements of moral science. By James Beattie, LL.D. professor of moral philosophy and logic in Marischal College, Aberdeen. First[-second] volume",25328-elements of moral science by james beattie ll,1792,English,Philadelphia,"beattie, james, 1735-1803"
12,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1092700101,"the mind was instructed to compound others,
even such, perhaps, as existed by these means in
idea and notion, before the combinations, whereof
they became the architypes, existed in ad. Our
ideas of relations, and of the relations of relations,
which are comprehended so often in our complex
ideas, or notions, are not positive beings that exist
by themselves, and can be contemplated by them-
selves. Modes are the affcdtions",48484,48910,0.842,Meaning Match,N20935,philosophy,"The philosophical works of the late Right Honorable Henry St. John, Lord Viscount Bolingbroke. In five volumes. Published by David Mallet, Esq; ...",6020-philosophical works of right honorable henry st john lord viscount bolingbroke,1754,English,London,"bolingbroke, henry st. john, viscount, 1678-1751"
13,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",581100300,"means a
conscious, intelligent, active, felf-exerting Being.
Thus we define compound Ideas, or complex
Conceptions; but as for those that arefimple,
they cannot be defined otherwise than by orme
synonymous Term, because they canl be known
only by Experieice.

26. ANY one ihtire Being that cannot be di-
vided into more of the fame Kind, Of
we call an Individual, whether it be Of",115215,115595,0.842,Meaning Match,T82888,philosophy,"The elements of philosophy: containing, I. The most useful parts of logic, including both Metaphysics and Dialectic, or the Art of Reasoning: with a brief Account of the Progress of the Mind towards its highest perfection. To which is prefixed, A short Introduction to the Study of the Sciences. II. A brief view both of the speculative and practical Part of moral philosophy, as improved by Christianity. To which is added, An Original Letter concerning the Settlement of Bishops in America. By Samuel Johnson, D.D.",108508-elements of philosophy containing i,1754,English,London,"johnson, samuel, 1696-1772"
14,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1479400101,"The names of substances.
(I.) Of simple Ideas, which cannot be defined

or explained per notiora, since definition is re-
solving the thing to be defined into its moal
simple Ideas ; but complex Ideas may be defined,
because they may be resolved into their simple

Ideas ;

Ideas; and simple modes may be defined, being
the manner in which these simple Ideas are come
bined ; and therefore the mind may",613231,613633,0.841,Meaning Match,P2395,literature_and_arts,The Present state of the republick of letters. For ...,X-the present state of the republick of letters,1728,English,London [England],
15,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1179800200,"Complex Ideas, and have his own
definition of the term.-He lays there,

Ac As simple ideas are observed to exist
in several combinations united together;
so the mind has a power to confider
several of them united together as one
. idea; and that not only as they are
united in external objeEts, but as itself
has joined them. Ideas thus made up
of several simple ones put together, I call
complex; such as are",320320,320729,0.839,Meaning Match,T202092,philosophy,"A dissertation on the Phædon of Plato: or, dialogue of the immortality of the soul. With Some general Observations upon the Writings of that Philosopher. To which is annexed, a psychology: or, an abstract investigation of the nature of the soul; in which the Opinions of all the celebrated Metaphysicians on that Subject are discussed. By Charles Crawford, Esq. Fellow Commoner of Queen's College, Cambridge.",46146-a dissertation on phaedon of plato or dialogue of immortality of soul,1774,English,London,
16,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",821500101,"Of our Complex Ideas of Substances.
Ideas of Sub . . i.. H E Mind being, as I have declar'd, furnifh'd with a great number of
fiances, how ] the simple Ideas, convey'd in by the Senses, as they are found in exte.
made. riour things, or by Refleftion on its own Operations, takes notice also, that a

certain number of these",747641,747964,0.837,Meaning Match,T128626,philosophy,An account of the life and writings of John Locke Esq;,20626-eloge de feu m locke,1714,English,London,"le clerc, jean, 1657-1736"
17,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",223400103,"are designed to represent, and there
will be no danger of confusion or miffake.

Words representing complex ideas, which are
objets of our senses, are defined by enumerating
the simple ideas of which they are compounded.

Words representing simple ideas cannot properly
be defined, for it is impossible to analyze the idea
white, sweet, &c.

It is unnecessary to fay any thing of the nature
and use of those words called particles",753227,753657,0.836,Meaning Match,T113146,philosophy,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D. D. Joint Evening Preacher at the Foundling Hospital, Author of Essays Historical and Moral, &c. In three volumes. With forty-six plates. ...",53360-economy of nature explained and illustrated on principles of modern philosophy,1796,English,London,"Gregory, G. (George), 1754-1808"
18,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1440900103,"ing, any ideas or notions, yet are they not unaccompanied
by ideas and notions. That would be to have no meaning at

all,

cafes of the latter kind. The essences of substances are absolutely unknown to
:us, but the essences of complex modes are perfectly known, so that we have
clear and diftin&c notions, tho we cannot have clear and distinct ideas, nor indeed
any ideas at all of them. From",790437,790829,0.836,Meaning Match,N1390,politics,"The elements of commerce, politics and finances, in three treatises on those important subjects. By Thomas Mortimer, Esq. author of a treatise on the funds, entitled, Every man his own broker",19006-elements of commerce politics and finances in three treatises on those important subjects,1774,English,London,"mortimer, thomas, 1730-1810"
19,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",451900604,"complex idea, is one that is framed by joining two or
more imple ideas together; as those of afquare, a triangle, a
uan, a hore, a tree, &c. which, though often confider'd
asfingle and difinci things, yet, as they are evidently com-
posed of several parts, may be divided by the mind into
several ideas.
A compound idea is that which contains several ideas of a
diffrent kind",22315,22690,0.835,Meaning Match,T113176,philosophy,"Logic, ontology, and the art of poetry; being the fourth and fifth volumes of the Circle of the sciences. Considerably enlarged, and greatly improved.",63853-logic ontology and art of poetry being fourth and fifth volumes of circle of sciences considerably enlarged and greatly improved,1776,English,London,"newbery, john, 1713-1767"
20,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",955300500,"sec the association of
ideas, so as to make some to unite more rea-
dily than others which yet are equally possess-
ed of the associating qualities or relations.

AM ONG those qualities or relations of
ideas, which fit them for being associated,
there is an obvious distinCtion: some of
them are fziple, others are compounded. The
simple principles of association may be re-
duced to three, resemblance, contrariety, and
vicini",141030,141457,0.835,Meaning Match,T91339,science,"An essay on genius. By Alexander Gerard, D.D. Professor of Divinity in King's College, Aberdeen.",13333-an essay on taste,1774,English,London,"gerard, alexander, 1728-1795"
21,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1134201200,"But now
our complex Ideas, which alone are capable of
this kind of Description, being, as we have said,
nothing more than different Combinations of lim-
pi' Ideas ; we then know and comprehend them
perfectly, when we know tle several simple Ideas
of which they conlift, and can so put them to-
gether in our Minds, as is neccllary towards
the fiaming of that peculiar Connection, which
gives every Idea its diiiinct",175736,176151,0.835,Meaning Match,T134693,philosophy,"The elements of logick. In four books. Book I. Of the Original of our Ideas, their various Divisions, and the manner in which they contribute to the Increase of Knowledge; with a Philosophical Account of the Rise, Progress, and Nature of human Language. Book II. Of the grounds of human Judgment, the Doctrine of Propositions, their Use in Reasoning, and Division into self-evident and demonstrable. Book III. Of Reasoning and Demonstration, with their Application to the investigation of Knowledge, and the common Affairs of Life. Book IV. Of the Methods of Invention and Science, where the several Degrees of Evidence are examined, the Notion of Certainty is fixed and stated, and the Parts of Knowledge in which it may be attained, demonstrated at Large. Designed particularly for young Gentlemen at the University, and to prepare the way to the Study of Philosophy and the Mathematicks. By William Duncan, Professor of Philosophy in the Marishal College of Aberdeen.",2838-elements of logick in four books,1776,English,Edinburgh,"duncan, william, 1717-1760"
22,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",601600100,",

COMPLEX Ideas are often confidered as single
and diRlinct Beings, tho' they may be made up of
fvevral simple Ideas; so a Body, a Spirit, a House,
a Tree, a Flower. But when feveral.of these Ideas
of a different Kind are joined together, which are
wont to be confidered as diftind iingle Beings, this
is called a compounded Idea,,",2837980,2838312,0.835,Meaning Match,T101515,education,"A supplement to Dr. Harris's Dictionary of arts and sciences; explaining not only the Terms in Physics, Metaphysics, Ethics, Theology, History, Geography, Antiquity, Chronology, Grammar, Rhetoric, Logic, Poetry, Pharmacy, Medicine, Chymistry, Surgery, Phytology, War, Polity, Navigation, Architecture, Painting, Sculpture, Music, Commerce, Trade, Husbandry, Manage, Horticulture, &c. &c. &c. but also the arts and sciences themselves: Together with a just Account of the Origin, Progress, and State of Things, Offices, Officers, and Orders, Ecclesiastical, Civil, Military, and Commercial; the several Sects, Systems, Doctrines, and Opinions of Divines, Heresiarchs, Schismatics, Philosophers, Mathematicians, Physicians, Critics, Antiquaries, &c. Also an account of all sacred books and writings; History of General and Particular Councils; all Solemnities, Rites, Ceremonies, Fasts, Feasts, Statutes, Laws, Plays, Sports, Games, Habits, and Utensils: in all which, (as likewise in Metaphysics, Theology, Antiquity, Grammar, Rhetoric, Poetry, Polity, and other miscellaneous Subjects,) this Book is of itself entirely compleat, and more copious and extensive than any Work of this Kind, not excepting Mr. Chamber's Cyclopaedia, of which it is a very great Improvement, containing upwards of Eleven Hundred Articles which that Author has omitted; besides great Additions and Improvements in almost every Article; and will, with Dr. Harris's two Volumes, make the most useful Set of Books, and compleat Body of Arts and Sciences yet extant: Being carefully compiled from the best and most approved Authors in several Languages; enriched with many curious Manuscripts, and illustrated with Copper-Plates. N. B. Those Subjects in which Dr. Harris is any way deficient are here perfected; no trifling and Insignificent Words inserted, but only such as may convey some useful and entertaining Knowledge to the Reader; for whose further Benefit and Satisfaction, all the Authors made use of in this Work are quoted. By a Society of Gentlemen.",200303-lexicon technicum,1744,English,London,
23,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",367400402,"'ly passive.
Of the fcond kind of complex ideas are
all those arbitrary collecfions of difei ent
ideas. which the mind by ust own powers
occSonally pots together, by compound-
ing, compariu, divertiying and uniting
its original notces, either for uft in the
conmmerc of life, or in i pursuit tor
fartherknowvlege; such are our ideas of
fIsted lengths, whether of duration",3941606,3941977,0.835,Meaning Match,T138158,education,"A new and complete dictionary of arts and sciences; comprehending all the branches of useful knowledge, with Accurate Descriptions as well of the various Machines, Instruments, Tools, Figures, and Schemes necessary for illustrating them, as of The Classes, Kinds, Preparations, and Uses of Natural Productions, whether Animals, Vegetables, Minerals, Fossils, or Fluids; Together with The Kingdoms, Provinces, Cities, Towns, and other Remarkable Places throughout the World. Illustrated with above three hundred copper-plates, curiously engraved by Mr. Jefferys, Geographer and Engraver to his Royal Highness the Prince of Wales. The whole extracted from the best authors in all languages. By a society of gentlemen. ...",24293-a new and complete dictionary of arts and sciences comprehending all branches of useful knowledge with accurate descriptions as well of various machines instruments tools figures and schemes necessary for illustrating them as of classes kinds preparations and uses of natural productions whether animals vegetables minerals fossils or fluids together with kingdoms provinces cities towns and other remarkable places throughout world,1754,English,London,society of gentlemen
24,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",1468700200,". The complex Ideas which I
here [peak of, are generally excited by words,
or vifirble objeats; but~ they are ali~b conneated
with other external ImprefiTons, and depend
upon them as upon Symbols. In what ever
way we confider them, the Trains of them
which are prese~nted to the mind se~em to de-
pend upon the then prefenat State of` the Body,
the external Impre",75864,76227,0.834,Meaning Match,T6241,unknown,Miscellaneous observations on some points of the controversy between the material lists and their opponents,X-miscellaneous observations on some points of the controversy between the materialists and their opponents,1780,English,London,
25,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",450800400,", will, wish, &c. (2.) A complex idea Complexz
is made by joining two or more simple ones together; iaeab.
as a square, triangle, tube, pen, a table, reading,
body, a man, an angel, a swift horse, &c. and every
thing that can be divided by the mind into two or
more ideas. (3,) A compound idea is such as.contains Compound
several di",342004,342337,0.834,Meaning Match,T25315,philosophy,"Bibliotheca technologica: or, a philological library of literary arts and sciences. Viz. I. Theology; or the first Principles of Natural Religion. II. Ethics, or Morality; the Doctrine of Moral Virtues. III. Christianity; or the Substance of the Christian Religion. IV. Judaism; or the Religion and State of the Jews. V. Mahometanism; or the Life, Religion, and Polity of Mahomet. VI. Gentilism; or the Deities and Religion of the Heathen. Vii. Mythology; or an Explanation of Fabulous Histories. Viii. Grammar and Language, particularly of the English Tongue. IX. Rhetoric and Oratory; or the Art of speaking eloquently. X. Logic; or the Art of Reasoning and Persuasion. XI. Ontology; or the Science of Being abstractedly considered. XII. Poetry; or the Art of making Verses or Poems. XIII. Criticism; or Art of judging well of Men and Things. XIV. Geography; or a Description of the World. XV. Chronology; or the Doctrine of Time. XVI. History; with the Original of Nations and Kingdoms. XVII. Physiology; or Science of Natural Philosophy. XVIII. Botany; or the Doctrine of Plants and Vegetables. XIX. Anatomy; or a Description of the Parts of an human Body. XX. Pharmacy; or the Art of making Medicines. XXI. Medicine; or the Theory of Physic and Diseases. XXII. Polity and Oeconomics; or the Doctrine of Society and Government. XXIII. Jurisprudence; or the Knowledge of Law or Right. XXIV. Heraldry; or Art of Blazoning Coat-Armour. XXV. Miscellanies: An Account of the Mathematical Arts and Sciences. By Benjamin Martin.",16003-bibliotheca technologica or philological library of literary arts and sciences viz,1776,English,London,
26,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",461600101,"of simple Ideas offeveral forts put together,
to make a complex one, as beauty, theft, &c.
Subltances have their Ideas from such combinations of simple
Ideas as represent ditin& things subsisting by themselves; in
which the Idea of substance, confured as it is, is always the first.
Relations are complex Ideas arifingfrom the comparison of
one Idea with another. Of these some only depend on the
equality or",316622,317030,0.833,Meaning Match,T90432,education,"A new and universal dictionary of arts and sciences: ... With an introductory preface, ... And illustrated with a great number of copper-plates, engraven by the best hands.",21610-a new and universal dictionary of arts and sciences,1751,English,London,"barrow, john, teacher of mathematics"
27,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",215500200,"this is the foundation of it. To those
who should happen not to attend to this difference,
every thing will appear confuicd.

1H 4 SECTION

SECTION III.
Of simple and complex ideas.
§ I. Y complex idea I mean the reunion or col-

A) lection of several perceptions; and by fim-
ple idea a perception singly confidered.

""Though the qualities that affeEt our senses,
"" fays Mr. Lock",214981,215361,0.833,Meaning Match,N1707,philosophy,"An essay on the origin of human knowledge. Being a supplement to Mr. Locke's essay on the human understanding. Translated from the French of the Abbè de Condillac, Member of the Royal Academy of Berlin. By Mr. Nugent.",160152-essai sur lorigine des connaissances humaines,1756,English,London,"condillac, etienne bonnot de, 1714-1780"
28,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",555300102,"terms fiandino
for such complex ideas. Butourcomplex ideas, being nothing more
than different combinations of simple ideas; we then know and
comprehe hed them m re perfely, when we know the simple ideas
of which they confiGf, and can so put them together in our minds
as is necessary towards the framing of that peculiar connexion
which gives every idea its diitint and proper appearance.' Two
things are therefore required in every definition. First, that all",7694815,7695275,0.832,Meaning Match,N41809,education,"The new encyclopædia; or, modern universal dictionary of arts and sciences, on a new and improved plan. ... In three volumes. By William Henry Hall, Esquire. The third edition. Revised, corrected, and enlarged, with considerable additions, improvements and modern discoveries, by Thomas Augustus Lloyd, ... Illustrated with upwards of one hundred and fifty large superb copper-plates, ...",10576-new royal encyclopaedia,1797,English,London,"hall, william henry, -1807"
29,33,"l such complex *Ideas,* which however compounded, contain not in them the supposition of subsisting by themselves, but are considered as Dependences on, or Affections of Substances; su",266900200,"Idea, if I may
be permitted to use this Expression, confits in
its being a determinate Combination. of a Set of
Sirmples 5 and Simple Ideas of different Na-
tures, in diftint Combinations form Complex
Ideas, in this refpet, efentially. different:
Whereas the EJ'nce of any Thing from which
we have a Complex Idea, i5 something, which
is the support of all the Objec",122719,123084,0.831,Meaning Match,T115340,philosophy,"The first principles of modern deism confuted. In a demonstration of the Immateriality, Natural Eternity, and immortality of thinking substances in general; and in particular of human souls. Even Upon the Supposition that we are intirely ignorant of the Intrinsie Natures of the Essences of Things.",129479-first principles of modern deism confuted in demonstration of immateriality natural eternity and immortality of thinking substances in general and in particular of human souls,1707,English,London,"witty, john"
