,quoteIndex,quoteText,hitDocId,hitText,hitStart,hitEnd,simScore,hitResult,estc_id,main_category,full_title,work_id,publication_year,language,publication_place,primary_author
10,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",254900101,"holds the ato.tvzcalphilofophy, or dotrine
of atoms.
The atomrnfs, who define motion to be a pas-
sage from one place to another, what do they more
than put one synonymous word for another ?

Loacd.
Now can judicious atomiifs conceive,
Chance to the fun could his just irmipulfe give ?

Blackmoil
A'TOM Y. n.J An obsolete word for atom.",1489335,1489671,0.807,Paraphrase,T116655,history,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. ... By Samuel Johnson, ...",294-dictionary of english language,1785,English,London,"johnson, samuel, 1709-1784"
11,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",241200200,"movement? All that part of language which belongs. to
its utterance, is intirely. to be regulated- by the. ruls of music;.
that is, of melody and rhythmus: how then is it poflible, to bring
that part of it to the perfetion it may be capable of,, if our men
of letters are so ignorant. of. it, as to doubt.or deny its. existence?",253869,254197,0.807,No Match,T62224,education,An essay towards establishing the melody and measure of speech to be expressed and perpetuated by peculiar symbols.,19174-essay towards establishing melody and measure of speech,1775,English,London,"steele, joshua"
12,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",267400400,"er, by the
help of Motion only.

I think it, with Mr. L. of good use in

a Philosophy, to know what
c. 4i.. s4,c. Words can, and what cannot

be defin'd; and I am persuaded
also tlat, of the latter Sort only, are the
Names of our Simple Ideas, of which Motion
is one: If any Man shou'd ask me what
Motion is thebe",83288,83601,0.807,Paraphrase,T115365,philosophy,"Psychologia: or, an account of the nature of the rational soul. In two parts. The First; Being an Essay towards establishing the receiv'd Doctrine, of an Immaterial and consequently Immortal Substance, united to Human Body, upon sufficient Grounds of Reason. The Second, A Vindication of that receiv'd and establish'd Doctrine, against a late Book, call'd, Second Thoughts, &c. wherein all the Authors pretended Demonstrations to the Contrary, as well Philosophical and Rational, as Scriptural, are fully refuted; together with Occasional Remarks on his Way of Reasoning. To which is annex'd, A brief Confutation of his whole Hypothesis. By John Broughton, M. A. Chaplain to his Grace the Duke of Marlborough.",139831-psychologia or account of nature of rational soul,1703,English,London,"broughton, john, 1673 or 1674-1720"
13,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",1543000102,"force and neceflary motion;

and

and yet they convey no meaning. The idea of
motion is nothing more than the idea of pafling
from one place to another, nor can there be any
motion without some particular dire&ion ; for
no individual being can move several ways at
once. In what manner, then, is it that matter
necessarily moves ? Has all the matter of which
bodies are composed, a general and uniform
motion, or has each atom a particular motion",217998,218444,0.807,Meaning Match,T137824,philosophy,"Emilius; or, A treatise of education. Translated form the Frenceh of J.J. Rousseau, citizen of Geneva. In three volumes",1098-emile,1773,English,Edinburgh,"rousseau, jean-jacques, 1712-1778"
14,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",452600900,"vous alléguez vieennet de ce
que l'on confond la caufe avec l'effet ou
la force motrice avec le mouvement lo-
cal, & quand on croit avoir donné une
définition véritable du mouvement, il fe
trouve qu'on n'a rien dit finon que le
mouvement ejî le mouvement, en ne faifant
que changer un peu les termes. Quand
on voit rouler une boule fur la peloufe
& que l'on demande ce que",226162,226534,0.803,Paraphrase,T101601,philosophy,"Lettres philosophiques sur l'origine des préjugés, du dogme de l'immortalité de l'ame, ... Traduites de l'Anglois de J. Toland.",46477-letters to serena containing i,1768,French,Amsterdam,"toland, john, 1670-1722"
15,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",104000305,"by thelc vague
terms, universal force and ueceflhry motion;

and

and yet they convey no meaning. The idea of
motion is nothing more than the idea of passing
from one place to another, nor can there be any
motion without some particular direction; for
no individual being can move several ways at
once. In what manner, then, is it that matter
neceflarily moves ? Has all the matter of which
bodies are composed, a general and uniform",218661,219094,0.803,Paraphrase,T137825,literature_and_arts,The works of J. J. Rousseau. Translated from the French. In ten volumes. ...,18583-works,1773,English,Edinburgh,"rousseau, jean-jacques, 1712-1778"
16,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",403100201,"it;
aid for that motion, also, to have various tendencies.
i Motion, in many parts of matter, appears manifest to sense; but how it came Whence motion
by this motion, is disputed. The ancient corpufcularians, who.acknowledged roceeds.
no author of the universe, were reduced to make it inherent in matter; and,
confequenty, coeval therewith: but since local motion, or an endeavour",797902,798283,0.803,Meaning Match,N19966,science,"The philosophical works of the Honourable Robert Boyle Esq; abridged, methodized, and disposed under the general heads of physics, statics, pneumatics, Natural History, Chymistry, and Medicine. The whole illustrated with Notes, containing the Improvements made in the several Parts of natural and experimental Knowledge since his time. In three volumes. By Peter Shaw, M.D.",46286-philosophical works of honourable robert boyle abridged methodized and disposed under general heads of physics statics pneumatics natural history chymistry and medicine whole illustrated with notes containing improvements made in several parts of natural and experimental knowledge since his time in three volumes by peter shaw md,1738,English,London,"Boyle, Robert, 1627-1691."
17,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",179100400,"movens, in' this our
Number of
Atoms. corporeal Machine, from which the Motion of

the Body, Hand, or Finger, originally pro-
ceeds, was not one single Atom but a great
Number of Atoms, which began all at once
to move, or to move in a new Dire&ion, the
Difficulty will be the fame; for as no one of
these Atoms could, according.to the Suppofi-
tion, receive its Motion",84842,85210,0.802,Meaning Match,T57973,philosophy,"A new method of demonstrating from reason and philosophy the four fundamental points of religion, viz. I. The Existence and the Immateriality of the Spirit or Soul of Man. II. The Existence of the supreme Spirit, or God. III. The Immortality of the Soul of Man. And, IV. The Certainty of a Future State of eternal Happiness or Misery.",198935-a new method of demonstrating from reason and philosophy four fundamental points of religion viz,1756,English,London,gordon
18,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",464004600,". Si l'on demande
d'où et venu le mouvement dans la matiere? Nous ré-
pondrons que par la m.me raifon elle a dû fe mouvoir
de toute éternité, vu que le mouvement eft une fuite
néceTfaire de on exiftence, de fon eence & de fes
propriétés primitives , telles que fon étendue , fa pe.
lànreur, fon impénétrabilité",57056,57366,0.8,Meaning Match,N23261,philosophy,"Systême de la nature, ou des loix du monde physique & du monde moral.",1040-système de la nature,1777,French,Amsterdam,"holbach, paul henri thiry, baron d', 1723-1789"
19,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",317700100,"- ing the several Particulars which enter into our complex Sensation of it, which are
lerJ Idtthef recounted in §. 2. as Matter, Space, Place, and Time.
The Definition . 7. As for Motion abftra'ced from all it's Circumstances, it cannot be better de-
of Motion not fin'd than by naming it a continual Alteration or Change of Distance, altho' any
the Idea thi",196315,196673,0.8,Meaning Match,T113292,philosophy,"The principles of the philosophy of the expansive and contractive forces. Or an inquiry into the principles of the modern philosophy, that is, into the several chief rational sciences, which are extant. In seven books. By Robert Greene, M. A. and Fellow of Clare-Hall.",59899-principles of philosophy of expansive and contractive forces or inquiry into principles of modern philosophy that is into several chief rational sciences which are extant,1727,English,Cambridge,"greene, robert, 1678?-1730"
20,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",312200702,"é,
tendue, mais eft-ce au moyen de
l'étendue ? Non: puifque l'idée du
mouvement renferme celle de l'éten-
due. Qui dit mouvement,. dit donc
plus qu'étendue; ce n'eft donc pas
l'étendue qui donne l'idée du mou-
vement & le fait concevoir.
»J'entens, dit-il enfin, par Dieu,",163714,163986,0.8,Meaning Match,T72435,religion,"Lettres critiques, sur divers écrits de nos jours, contraires à la religion & aux mours. Par M. C***. Premiere Partie.",142939-lettres critiques sur divers ecrits de nos jours contraires la religion and aux moeurs par m c--- premiere partie,1751,French,Paris,charpentier
21,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",371600101,"to move,
because they change distance with his feet ? To me it seems, that though
motion includes a relation of one thing to another, yet it is not ncceflary
that each term of the relation be denominated from it. As a man may
think of somewhat which doth not think, so a body may be moved to
or from another body, which is not therefore itself in motion.

CXIV. As the place happens to be variously defined, the motion
which is",344759,345186,0.8,Meaning Match,T142562,philosophy,"The works of George Berkeley, D.D. late Bishop of Cloyne in Ireland. To which is added, an account of his life, and several of his letters to Thomas Prior, Esq. Dean Gervais, and Mr. Pope, &c. &c. in two volumes. ...",54118-works of george berkeley,1784,English,Dublin,"berkeley, george, 1685-1753"
22,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",1001400200,"Mover, who gives the Motion, and continues it according to the
Laws by him established: For Motion is not essential to Matter, or to the least Atoms there-
of; they are ifidifferent either to Motion or Reft, till some Cause put them in Motion. Be-
fidesj these Paits of Matter have no Power to continue that Motion, far less to move in such
a manner, as is necessary to form the Universe. Who can imagine that",44916,45325,0.8,Meaning Match,T129555,history,"The history of the Church under the Old Testament, from the creation of the world: Wherein Also The Affairs and Learning of Heathen Nations before the Birth of Christ, and the State of the Jews from the Babylonish Captivity to the present Time, are particularly considered. To which is subjoined, A discourse to promote the conversion of the Jews to Christianity. By Mr. Robert Millar Minister of the Gospel in Paisley.",97705-history of church under old testament from creation of world wherein also affairs and learning of heathen nations before birth of christ and state of jews from babylonish captivity to present time are particularly considered,1730,English,Edinburgh,"Millar, Robert, 1672-1752"
23,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",208300801,", and without a reference
to some other objet. The idea of motion
necessarily supposes that of a body moving.
Now what is our idea of the moving body,
without which motion is incomprehensible ?
It must resolve itself into the idea of ex-
tension or of solidity; and consequently
the reality of motion depends upon that of
these other qualities.

T H I S opinion, which is universally ac-
knowledg'd concerning motion, I have

prov",505000,505430,0.799,Meaning Match,T4002,philosophy,A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... . of the understanding.,52050-treatise of human nature,1739,English,London,"hume, david, 1711-1776"
24,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",580800401,"s them in motion, follows from the very na-
ture of matter. For whatever is capable of moving itielf, must be called
by some other name, since it is a part of the essence of matter not only
to be inaaive or unable to produce motion in itself, but even to make
a refiftanct to motion,. when communicated to it by any external cause.
It will be as easy to prove the second part of this law to",85381,85771,0.799,Meaning Match,T150276,science,"A system of natural philosophy, being a course of lectures in mechanics, optics, hydrostatics, and astronomy; Which are read in St Johns College Cambridge, by T. Rutherforth D.D. F.R.S. Chaplain to his Royal Highness the Prince of Wales. In two volumes. ...",152100-a system of natural philosophy being course of lectures in mechanics optics hydrostatics and astronomy which are read in st johns college cambridge by t,1748,English,Cambridge,"Rutherforth, Thomas, 1712-1771"
25,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",1751300202,"liindt Notion of either, the first regards a Motion of
the whole Body of the Atmosphere, or any Part thereof from
one Place to another; but the Second refpeas the Motion of the
Particles of Air in themselves simply considered, and is not so
much a local Motion, from one Place to another, as a pulfive
or vibrating Motion, which carries the Particles forward and
backward, through the very fame Space. Do you think you",753770,754188,0.799,Meaning Match,T25359,science,"The young gentleman and lady's philosophy, in a continued survey of the works of nature and art; by way of dialogue. ... Illustrated by ... Copper-plates. By Benjamin Martin",16004-young gentleman and ladys philosophy in continued survey of works of nature and art by way of dialogue,1759,English,London,
26,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",1292200900,"motion ? IThen each atom,
Affeiiing it's intdifputable right
~'o dance, would sorn a unive:fe of dut.:
Has matter none'? Then when:ce theie glorious

forms,
And boundless fliEiglts, from flalnrle;s. and repos'd?
Has matter more than motion ? Has it thought,
Judgment, and genius ? Is it deepo:",185741,186034,0.798,Topical,T204167,literature_and_arts,"Beauties in prose and verse: or, the new, pleasing, and entertaining collection, selected from the most eminent English authors. To which is added, a practical English grammar; or, an easy introduction to Speaking and Writing The English language with Propriety and Elegance. By the Rev. J. Ireland, Curate of Tynemouth, and Master of a Grammar School, North Shields.",199915-beauties in prose and verse or new pleasing and entertaining collection selected from most eminent english authors,1784,English,Newcastle upon Tyne,"ireland, j"
27,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",619400501,"motion to be "" a passage
"" from one place to another:"" And he
might as well have defined it to be motion
from one place to another; because passage
in this sentence means nothing different
from motion. Sturmeus defines motion
to be ""JficceJiva rez motae in diverfis locis
' exi;'entia;"" which is juflly blamed by
Leibnitz as describing the effedt of motion,
rather than the formal nature of",12791,13181,0.798,Meaning Match,T136788,science,"Essays and observations, physical and literary. Read before the Philosophical Society in Edinburgh, and published by them. Volume I.",10564-essays,1771,English,Edinburgh,
28,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",282700600,"in other magnitudes.

8. Motion is the change of place; that is, of the part of
space which the body occupies, or in which it is extended.
The motion is real or absolute, when the body changes its place
in absolute space. It is called: relative, when the body changes
its place with relation only to ambient bodies ;. and it is appa-
rent motion, when the body changes its situation with refpet
to other bodies that appear to us",292018,292446,0.798,Meaning Match,T81914,science,"An account of Sir Isaac Newton's philosophical discoveries, in four books. By Colin Maclaurin, A. M. Late Fellow of the Royal Society, Professor of Mathematics in the University of Edinburgh, and Secretary to the Philosophical Society there. Published from the author's manuscript papers, by Patrick Murdoch, M. A. and F. R. S.",22697-an account of sir isaac newtons philosophical discoveries in four books,1748,English,London,"maclaurin, colin, 1698-1746"
29,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",489200102,"motion, is defined to be the application
of a body to different parts of abfolutc, that is, of infinite
and immoveable/pace. See PLACE, MOTION and Ras'i'.
The Cartesians, who make extension the essence of matter,
afl~ert, that the /,~acc any body takes up, is the rame thing
with the body itself; and that there is no fuels thing as mere
space",6604798,6605141,0.798,Meaning Match,T136232,history,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S.",658-cyclopaedia,1738,English,London,"chambers, ephraim, approximately 1680-1740"
30,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",35201000,"every Man of common Sense knows
what it is, as well as the best Philosopher:
Now I ask any one, whether in his Sense
of Motion as he walks along the Streets,
the Stones he passes over may be said to
move, because they change Distance with
his.Feet? To me it seems, that though
Motion includes a Relation of one thing
to another, yet it is not neceflary that
each Term of the Relation be denominated
*",157481,157881,0.797,Meaning Match,T73934,philosophy,"A treatise concerning the principles of human knowledge. Wherein the chief causes of error and difficulty in the sciences, with the grounds of scepticism, atheism, and irreligion, are inquired into. First printed in the year 1710. To which are added three dialogues between Hylas and Philonous, in opposition to scepticks and atheists. First printed in the year 1713. Both written by George Berkeley, M. A. Fellow of Trinity-College, Dublin.",25255-a treatise concerning principles of human knowlege part i,1734,English,London,"berkeley, george, 1685-1753"
31,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",127601700,"efpèce de mouvement, là où
tout mouvement neft qu'un paffage
d'un endroit à l'autre: quelle abfur-
dité de dire que le changement de
lieu puiffe produire la penfée. Car
.ce mouvement, concilié à la matière
organifée, ne fait autre chofe, que
de deplacer & replacer les molécu-
.les, qui fe remuent. Or concevons
une de",14240,14558,0.796,Meaning Match,N8346,literature_and_arts,L'homme plus que machine.,187956-lhomme plus que machine,1748,French,London,"la mettrie, julien offrey de, 1709-1751"
32,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",365200101,"the Atoms. They are, of their own Nature, indifferent'
either to Motion or Stillneisi they would have continued'
such eternally, had not some Cause put them' into Moti-
on; they cannot give themselves Motion;: and therefore
they nimuf have receiv'd It from rome otherCaufe -If we
would suppose that the Parts -of-Matter, or the'Atoms,'
are in Motion from all Eternity",10419,10786,0.795,Meaning Match,T126792,history,"A compendious history of the church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",24155-histoire de leglise en abrege,1713,English,London,"du pin, louis ellies, 1657-1719"
33,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",479700301,"are we to think of
fpontaneous.Motion, or concerning the Movers
that excite it ?

M. This seems to me another easy Confe-
quence from the Inaftivity of Matter: For if
mechanical. Motion be above the .Power of
Matter, fpontaneousMotion, which rifes above
the Laws of Mechanism, is a Degree higher
above the P.ower and Genius of Matter,",462442,462776,0.795,Meaning Match,T132102,science,"Matho: or, the cosmotheoria puerilis; a dialogue. In which the first principles of philosophy and astronomy are accomodated to the capacity of young persons, ... Translated, and enlarged by the author. In two volumes. ...",4753-matho,1754,English,Dublin,"baxter, andrew, 1686?-1750"
34,464,"ing their Causes, or any otherwise. The *Atomists,* who define Motion to be *a passage from one place to another,* What do they more than put one synonymous Word for another? For what is *Passage* other than *Motion",718400200,"Energy, or power to move themselves, and to which is Migration from place to place, which
a&, consisting of the vigours of each several for the molt part it called Lation, and tranfi-
Atom, but varioufy modifi'd; as Come of them ent Motion, and local Motion. For thus they,
mutually entangling one another are carried hi- name it in Diflinaion from that Motion, whichi
ther, others",3269789,3270170,0.795,Meaning Match,T102824,history,"The history of philosophy: containing the lives, opinions, actions and discourses of the philosophers of every sect. Illustrated with the effigies of divers of them. By Thomas Stanley, Esq;",4216-history of philosophy,1701,English,London,"Stanley, Thomas, 1625-1678"
